No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,10,1uF,"C1,C2,C3,C4,C6,C7,C9,C16,C18,C20",C0603,1uF,CL10A105KB8NNNC,SAMSUNG(三星),C15849,LCSC
2,8,CAPR500-350X720X850100nF100V,"C5,C8,C10,C11,C12,C15,C17,C19",CAP-TH_L7.4-W2.3-P5.08-D0.6,,CAPR500-350X720X850100nF100V,,C2927433,LCSC
3,1,1uF,C13,C0402,1uF,CL05A105KA5NQNC,SAMSUNG(三星),C52923,LCSC
4,1,10uF,C14,C0603,10uF,CL10A106MA8NRNC,SAMSUNG(三星),C96446,LCSC
5,1,PJ-307C,J1,AUDIO-TH_PJ307C,,PJ-307C,BOOMELE(博穆精密),C16684,LCSC
6,2,5.1kΩ,"R1,R2",R0603,5.1kΩ,0603WAF5101T5E,UNI-ROYAL(厚声),C23186,LCSC
7,4,56kΩ,"R3,R4,R5,R6",R0603,56kΩ,0603WAF5602T5E,UNI-ROYAL(厚声),C23206,LCSC
8,1,SL2.1s,U1,SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL,,SL2.1s,CoreChips(和芯润德),C2684433,LCSC
9,1,PCM2704CDBR,U2,SSOP-28_L10.2-W5.3-P0.65-LS7.8-BL,,PCM2704CDBR,TI(德州仪器),C2859784,LCSC
10,3,TYPE-C 16PIN 2MD(073),"USB1,USB3,USB4",USB-C-SMD_TYPE-C-16PIN-2MD-073,,TYPE-C 16PIN 2MD(073),SHOU HAN(首韩),C2765186,LCSC
11,1,10.0 QHHTZB6.3,USB2,USB-A-TH_10.0QHHTZB6.3,,10.0 QHHTZB6.3,SHOU HAN(首韩),C668591,LCSC
12,1,12MHz,X1,OSC-SMD_4P-L5.0-W3.2-BL_SIT8103AI,12MHz,HSO531S 12MHZ 1.6~3.6V -40~+85℃,HELE(台湾加高),C160450,LCSC
,,,,,,,,,
